. ,,,,,,,,,,,,,,,,
FCU,,,,,,,,,,,,,,,,
Periode :,Maret - April,,,,,,,,,,,,,,,
List Service Unit HVAC,,,,,,,,,,,,,,,,
No.,Tanggal,Floor,Tenant / Area,Brand,Model,Jenis Unit,Cetegory Finding,Finding,Rekomendasi,Dokumentasi,,,,,,
1,02 Maret 2026,L4,OFFICE JAYA KENCANA,MC QUAY,MCC50,FCU,"U Trap
Watermur
Filter","U trap tidak ada, water mur tidak ada, filter tidak ada",,,,,,,,
172,17 Maret 2026,L3,MINIAPOLIS 001,TRANE,HCCA18,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
173,,L3,MINIAPOLIS 002,TRANE,HCCA24,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
174,,L3,MINIAPOLIS 003,TRANE,HCCA24,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
175,,L3,MINIAPOLIS 004,TRANE,HCCA24,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
176,,L3,MINIAPOLIS 009,TRANE,HCCA24,FCU,,"Kondisi motor noise AC FCU model : TRANE HCCA24. Indikasi noise dari bearing motor yang sudah rusak, sementara saat ini unit dimatikan semua.",Rekoomendasi pergantian bearing,,,,,,,
177,,L3,MINIAPOLIS 010,TRANE,HCCA24,FCU,,Water mur tidak ada,,,,,,,,
178,,L3,MINIAPOLIS 011,,,FCU,,,,,,,,,,
179,,L3,TOILET SW 001,TRANE,HCCA10,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
180,,L3,TOILET SW 002,TRANE,HCCA10,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
181,,L3,PARANG KENCANA 001,MC QUAY,MCC60,FCU,,Filter udara tidak ada,,,,,,,,
182,,L3,PARANG KENCANA 002,MC QUAY,MCC30,FCU,,Filter udara tidak ada,,,,,,,,
183,,L3,CAFE DE CALAHA ,TRANE,HCCA18,FCU,,Water mur tidak ada,,,,,,,,
184,18 Maret 2026,L3,MINIAPOLIS 005,TRANE,HCCA24,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
185,,L3,MINIAPOLIS 006,TRANE,HCCA18,FCU,,"Water murtidak ada, Filter udara tidak ada",,,,,,,,
186,,L3,MINIAPOLIS 007,TRANE,HCCA24,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
187,,L3,MINIAPOLIS 004,TRANE,HCCA24,FCU,,"U-trap tidak ada, Watermur tidak ada",,,,,,,,
188,,L3,ZEIS VIXION CENTER 001,MC QUAY,MDB75,FCU,,"U-trap tidak ada, Water mur tidak ada, Filter udara tidak ada",,,,,,,,
189,,L3,ZEIS VIXION CENTER 002,MC QUAY,SB75,FCU,,"U-trap tidak ada, Water mur tidak ada, Filter udara tidak ada",,,,,,,,
190,,L3,TULOLA 001,MC QUAY,MCC60,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
191,,L3,TULOLA 002,MC QUAY,MCC60,FCU,,"U-trap tidak ada, Water mur tidak ada",,,,,,,,
192,,L3,MIKI HOUSE 001,TRANE,HCCA18,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
193,,L3,MIKI HOUSE 002,TRANE,HCCA18,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
194,,L2,PUMA ,TRANE,HCCA24,FCU,,"U-trap tidak ada, Water mur tidak ada, Filter udara tidak ada",,,,,,,,
195,,L2,ARMANI ,,,FCU,,,,,,,,,,
196,,P1,LOBBY LIFT CP 001,TRANE,HCCA24,FCU,,Water mur tidak ada ,,,,,,,,
197,,P1,LOBBY LIFT CP 002,YORK,SBH 100 DW,FCU,,"Water mur tidak ada, U-trap tidak ada, Frame filter tidak ada",Pengadaan frame filter,,,,,,,
198,,P2,LOBBY LIFT CP 001,,,FCU,,,,,,,,,,
199,,P2,LOBBY LIFT CP 002,,,FCU,,,,,,,,,,
200,19 Maret 2026,L3,PILLAR 001,DAIKIN,50BW,FCU,,Water mur tidak ada,,,,,,,,
201,,L3,PILLAR 002,DAIKIN,60BW,FCU,,,,,,,,,,
202,,L3,PILLAR 003,DAIKIN,50BW,FCU,,"Water mur tidak ada, Air venting tidak ada",,,,,,,,
203,,L3,PILLAR 004,DAIKIN,50BW,FCU,,"Water mur tidak ada, Air venting tidak ada",,,,,,,,
204,,L3,BAHA GIA 001,MC QUAY,MCC50,FCU,,"Filter udara tidak ada, Water mur tidak ada",,,,,,,,
205,,L3,BAHA GIA 002,DAIKIN,40BW,FCU,,Water mur tidak ada,,,,,,,,
206,,L3,BAHA GIA 003,DAIKIN,40BW,FCU,,Water mur tidak ada,,,,,,,,
207,,L3,KIDS STATION 001,TRANE,HCCA24,FCU,,"Water mur tidak ada, Air venting tidak ada",,,,,,,,
208,,L3,KIDS STATION 002,TRANE,HCCA24,FCU,,"Water mur tidak ada, Air venting tidak ada",,,,,,,,
209,,L3,BENTENG ,TRANE,HCCA14,FCU,,"Isolasi pipa sudah jenuh, Filter udara tidak ada",,,,,,,,
210,,L3,CROWN ,,,FCU,,,,,,,,,,
211,,L3,L'OCCITANE ,MC QUAY,MCC60,FCU,,"Water mur tidak ada, Filter udara tidak ada",,,,,,,,
212,,P3,LOBBY LIFT CP 001,TRANE,HCCA18,FCU,,"AC FCU model : TRANE HCCA18 kondisi motor dengung, bak drain keropos, dan evaporator sudah banyak yang rebah","Pergantian motor, bak drain dan evaporator harus dilakukan penyisiran atau perbaikan.",,,,,,,
213,,P3,LOBBY LIFT CP 002,DAIKIN,DDB 100 BW,FCU,,Water mur tidak ada ,,,,,,,,
214,,P2,LOBBY LIFT CP 001,YORK,YCC 60,FCU,,"Bak  drain korosif, water mur tidak ada",,,,,,,,
