Source: https://docs.google.com/spreadsheets/d/1BvEiTJVE7np-FOoj2qPwpvIGKJneQHX3VoA6LgKcM8k/export?format=csv

---

Control+A,,,,,,,,,,,,,,,,,,A:Z,,,,,,,
,No,Tanggal,Jam Complaint,Lantai,Jenis Unit,Tag No.,Brand,Model,Nama Teknisi,Nama Supervisor,Kategori ,Root Cause Analysis,Corrective Action,Rekomendasi,Last PM,Status,,Tenant / Area,,,,,,,
,70,14 Maret 2026,,LB,FCU,,,,,,Ruangan Panas,"AC sebagian tidak menyala dan kurang dingin, koil kotordan pintu box return terbuka",Telah dilakukan penutupan pintu box return. Rekomendasi service koil (Schedule 14 Maret 2026 jam 21.30),,,,,Maison Laura,,,,,,,
,71,14 Maret 2026,,LB,FCU,,,,,,Ruangan Panas,,"Telah dilakukan pengecekan temperature dan diffuser sbb: Temperature Diffuser :21.5, Temperature Koridor : 24.5",,,,,Sour Sally,,,,,,,
,72,14 Maret 2026,,,FCU,,,,,,Ruangan Panas,,Telah dilakukan pengecekan temperature ruangan dan diffuser dengan hasil sbb: Temp ruangan,,,,,Guardian,,,,,,,
,73,14 Maret 2026,,P2,SPLIT,,,,,,Ruangan Panas,Ruangan panas karena salah setting pada remote ,Telah dilakukan penyettingan suhu dan fan pada remote si ruangan,,,,,R. Server Secure Parking,,,,,,,
,74,14 Maret 2026,,P3,SPLIT,,,,Sarifuddin,,Ruangan Panas,"Ruangan panas karena unit tidak running, disebabkan karena kerusakan pada kapsitor di PCB indoor",Telah dilakukan penggantian kapasitor.,,,Closed,,Ruang JNE,,,,,,,
,75,15 Maret 2026,,L4,FCU,,,,,,Ruangan Panas,AC VIP kurang dingin temperature diffuser FCU tinggi.,Telah dilakukan pengecekan ,,,,,Samwon Garden,,,,,,,
,76,15 Maret 2026,,L5,FCU,,,,,,Ruangan Panas,,,,,,,Teras by Plataran,,,,,,,
,77,15 Maret 2026,,L3,FCU,,,,,,Kebocoran,"Kebocoran disebabkan air bak drain meluap dan air tidak mengalir, karena line drain tersumbat lendir sehingga air berbalik ke unit","Telah dilakukan pemvacumman pada bak drain, airventing, dan riser di ruang AHU hingga kering",,,,,Summertide,,,Based On Unit,Ruangan Panas,Kebocoran,,
,78,15 Maret 2026,,P2,SPLIT,,,,"Kholik,Agus, Afrizal",,Kebocoran,Kebocoran disebabkan sumbatan lendir dan kotoran pada pipa drain,Telah dilakukan pemakuman pada line drain,,,Closed,,Control Room Secure Parking,,,FCU,37,25,,
,79,15 Maret 2026,,P2,SPLIT,,,,"Kholik,Agus, Afrizal",,Kebocoran,Kebocoran disebabkan sumbatan lendir dan kotoran pada pipa drain,Telah dilakukan pemakuman pada line drain,,,Closed,,Locker CSO Pria,,,AHU,4,1,,
,80,15 Maret 2026,,L4,AHU,,,,"Sarifuddin, Nasim",,Kebocoran,Ruangan AHU banjir karea bak drain sudah bolong,Telah dilakukan pemakuman dan pengeringan area,Ganti bak drain,,Closed,,AHU L4 II,,,Split,0,0,,
,81,16 Maret 2026,,L3,FCU,,,,,,Kebocoran,,"Telah dilakukan pemvacumman pipa chiller yang kondensasi, dibantu pihak BM",,,,,Passion Prive ,,,,,,,

,82,16 Maret 2026,,LB,FCU,,,,,,Kebocoran,Kebocoran berasal dari bak drain yang meluap karena tersumbat lendir,Telah dilakukan pemvacumman pada area kebocoran,,,,,Starbucks,,,,,,,
,83,16 Maret 2026,,L1,FCU,,,,,,Ruangan Panas,,"Telah di lakukan pengecekan ac panas Dengan hasil ukur temperatur sebagai berikut Area depan kanan : 21,8°c diff : 18,7°cArea pintu masuk : 21,3°c diff : 18,8°cArea tengah  : 21,9°c diff : 19,8°c Area area kiri : 22,4°c diff : 17,9°C Area area men : 23,1°c diff : 20,7°cArea gudang : 21,3°c diff : 14,5°c",Tenant minta pengecekan ke unit jam 20:00 wib Note : tenant minta suhu ruangan di 20.0°c,,,,Gucci,,,,,,,
,84,16 Maret 2026,,LB,FCU,,,,,,Non AC,Tidak ditemukan titik kebocoran tersebut karena jauh dari unit FCU,"Telah dilakukan pengecekan tetapi tidk ditemukan titik kebocoran tersebut karena jauh dari unit FCU, untuk saat ini sudah tidak ada tetesan air",,,,,Hakata ikkousha,,,,,,,
,85,17 Maret 2026,,L3,FCU,,,,Kamal,,Ruangan Panas,Setelah dicek AC panas disebabkan flexible sebagian banyak yang rusak,"Telah dilakukan pengecekan temperature ruangan dan diffuser, Area depan diffuser : 19.4 Ruangan : 25.1 Area tengah diffuser: 20.8 Ruangan : 25.5 Area belakang diffuser : 23.3 Ruangan : 25.3",,,,,Jhon Fashion,,,,,,,
,86,17 Maret 2026,,L4,FCU,,,,Edi dan Ivan,,Kebocoran,Kebocoran berasal dari air kondensasi yang terbawa angin blower ke ducting dan masuk ke fleksible supply. Indikasi unit kotor,Telah dilakukan pemvacumman hingga kering ,Rekomendasi segera dilakukan service,,,,Kam Roast,,,,,,,
,87,17 Maret 2026,,L5,AHU,,,,"Agus, Kholik",,,V Belt hanya terpasang satu,Sudah dilakukan pemasangan V Belt yang baru sekaligus penggantian yang lam karena sudah mulai rusak.,,,Closed,,AHU P5-11,,,,,,,
,88,17 Maret 2026,,L1,Split,,,,"Sarifuddin, Nasim",,Kebocoran,"Bocor kembali karena elevasi yang menanjak, ditemukan salah satu sapot telah lepas.","Telah dilakukan perbaikan pada sapot, genangan juga telah divakum dan dikeringkan.",,,Closed,,Osteria Gia,,,,,,,
,89,17 Maret 2026,,L5,AHU,,,,"Agus, Kholik",,,V Belt telah kendur,Penggantian V Belt yang kendur dan penyetelan ulang agar tegangan V Belt sesuai,,,Closed,,AHU P5-02,,,,,,,
,90,17 Maret 2026,,L1,AHU,,,,"Agus, Kholik",,,Grill di depan toilet turun akibat kaitan sudah rusak,Telah dilakukan perbaikan pada kaitan dan telah dipasang ulang grill agar kembali ke posisinya,,,Closed,,Koridor Toilet MaxMarra,,,,,,,
,91,18 Maret 2026,,L4,FCU,,,,"Kamal, Asril, Adit",,Ruangan Panas,,"Telah dilakukan pegecekan temperature dengan hasil sbb Area depan room : 24.7 diff: 18.6, Area belakang room: 25.3 diff: 19.6, Area kanan room: 24.9 diff: 19.6, Area kiri room: 24.6 diff: 17.4",Segera ditindak lanjuti,,,,C&S,,,,,,,
,92,18 Maret 2026,,L3,FCU,,,,"Kamal, Asril, Adit",,Non AC,"Tidak ditemukan bau hangus di unit AC atau di panel AC, bau hangus berasal dari unit milik tenant",,,,,,Bam Senju,,,,,,,
,93,19 Maret 2026,,L4,FCU,,,,Laswan,,Kebocoran,Kebocoran bukan berasal dari AC,,,,,,Glam On,,,,,,,
,94,19 Maret 2026,,L1,FCU,,,,Laswan,,Ruangan Panas,,Telah dilakukan pengecekan suhu dengan hasil sbb Area tengah : Temp,,,,,Cork & Screw,,,,,,,
,95,19 Maret 2026,,L1,SPLIT,,,,Andri,,Kebocoran,Kebocoran terjadi karena sumbatan pada line drain.,Telah dilakukan pemvakuman pada line drain utama.,Pengecekan berkala karena potensial terulang,,Closed,,Osteria Gia,,,,,,,
,96,20 Maret 2026,,P3,SPLIT,,,,Andri,,AC Mati,AC tidak running kemungkinan akibat kebocoran pada indoor,,Pengecekan unit secara menyeluruh.,,Pending,,Ruang Driver F19,,,,,,,
,97,20 Maret 2026,,P3,SPLIT,Unit 1,,,Andri,,AC Mati,"Kabel power sudah dicabut, kemungkinan kerusakan pada kompresor.",,Penggantian kompresor.,20 Maret 2026,Pending,,Ruang Mesin Lift 7-8,,,,,,,
4,98,22 Maret 2026,,L5,FCU,,,,,,Ruangan Panas,,"Telah dilakukan pengecekan suhu dengan hasil sbb Area depan temp : 25.6 diff: 18.8, Area kaca kiri temp: 25.3 diff: 19.4, Area kaca kanan temp: 25.2 diff: 18.1 ",,,,Cross Check,Ishigamaya,,,,,,,
5,99,22 Maret 2026,,L2,FCU,,,,,,Ruangan Panas,,"Telah dilakukan pengecekan temperature dan termostat dengan hasil sbb: area depan kasir temp: 24.3 °c diff: 25.4 °c, area kiri temp: 24.1°c diff: 17.4 °c, area kanan temp: 24.1 °c diff: 19.7 °c,area kitchen temp: 25.3 °c diff: 19.8 °c",Akan dilakukan pengecekan kembali pada tgl 22 Maret 2026 jam 21.30 WIB,,,Cross Check,Paul Baker,,,,,,,

,100,22 Maret 2026,,L4,FCU,,,,wahyudi,,Non AC,"Kebocoran bukan berasal dari unit AC, melainkan dari dak atas.",,,,,,Array,,,,,,,
